Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
1,2880.87,4067.78,1
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
2,5.85665,1e+10,1
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
3,0,inf,1
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
4,1.95183,1e+10,1
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
5,0.585869,4e+10,1
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
1,5613.48,2087.61,2
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
2,11.7035,5311.59,2
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
3,5.85492,2597.81,2
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
4,3.90401,3630.29,2
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
5,2.92795,3021.83,2
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
1,1139.11,10287.6,3
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
2,11.6899,2394.88,3
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
3,5.85318,4304.06,3
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
4,3.90278,3351.1,3
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
5,2.92747,3973.47,3
