Number_of_nodes,Average_throughput_udp,Average_delay
1,706.625,5837.61,
Number_of_nodes,Average_throughput_udp,Average_delay
2,4.12229,4597.38,
Number_of_nodes,Average_throughput_udp,Average_delay
3,2.06169,3005.58,
Number_of_nodes,Average_throughput_udp,Average_delay
4,1.37455,2096.27,
Number_of_nodes,Average_throughput_udp,Average_delay
5,1.03087,2416.01,
Number_of_nodes,Average_throughput_udp,Average_delay
6,0.824742,2705.7,
Number_of_nodes,Average_throughput_udp,Average_delay
7,0.687307,2241.56,
Number_of_nodes,Average_throughput_udp,Average_delay
8,0.589118,2651.55,
Number_of_nodes,Average_throughput_udp,Average_delay
9,0.523667,3033.46,
Number_of_nodes,Average_throughput_udp,Average_delay
10,0.471253,2983.5,
Number_of_nodes,Average_throughput_udp,Average_delay
11,0.428432,3467.49,
Number_of_nodes,Average_throughput_udp,Average_delay
12,0.392721,3393.25,
Number_of_nodes,Average_throughput_udp,Average_delay
13,0.362494,3415.99,
Number_of_nodes,Average_throughput_udp,Average_delay
14,0.336575,4023.35,
Number_of_nodes,Average_throughput_udp,Average_delay
15,0.314145,4595.01,
Number_of_nodes,Average_throughput_udp,Average_delay
16,0.294487,4318.66,
Number_of_nodes,Average_throughput_udp,Average_delay
17,0.277186,4755.59,
Number_of_nodes,Average_throughput_udp,Average_delay
18,0.261751,4750.3,
Number_of_nodes,Average_throughput_udp,Average_delay
19,0.247975,5320.68,
Number_of_nodes,Average_throughput_udp,Average_delay
20,0.235571,5681.31,
Number_of_nodes,Average_throughput_udp,Average_delay
21,0.224335,5765.06,
Number_of_nodes,Average_throughput_udp,Average_delay
22,0.214127,6515.6,
Number_of_nodes,Average_throughput_udp,Average_delay
23,0.204819,6491.7,
Number_of_nodes,Average_throughput_udp,Average_delay
24,0.19882,7076.86,
Number_of_nodes,Average_throughput_udp,Average_delay
25,0.17773,4.16676e+08,
Number_of_nodes,Average_throughput_udp,Average_delay
26,0.162026,8.33341e+08,
Number_of_nodes,Average_throughput_udp,Average_delay
27,0.15344,1.25001e+09,
Number_of_nodes,Average_throughput_udp,Average_delay
28,0.14083,1.66668e+09,
Number_of_nodes,Average_throughput_udp,Average_delay
29,0.131582,2.08334e+09,
Number_of_nodes,Average_throughput_udp,Average_delay
30,0.124161,2.50001e+09,
