Number_of_nodes,Average_throughput_udp,Average_delay
1,2175.13,5387.61,
Number_of_nodes,Average_throughput_udp,Average_delay
2,11.7036,3721.79,
Number_of_nodes,Average_throughput_udp,Average_delay
3,5.85511,3373.92,
Number_of_nodes,Average_throughput_udp,Average_delay
4,3.9038,3822.19,
Number_of_nodes,Average_throughput_udp,Average_delay
5,2.92809,2727.02,
Number_of_nodes,Average_throughput_udp,Average_delay
6,2.34256,3574.29,
Number_of_nodes,Average_throughput_udp,Average_delay
7,1.95197,3982.63,
Number_of_nodes,Average_throughput_udp,Average_delay
8,1.67338,4120.4,
Number_of_nodes,Average_throughput_udp,Average_delay
9,1.48739,4090.61,
Number_of_nodes,Average_throughput_udp,Average_delay
10,1.33849,4750.79,
Number_of_nodes,Average_throughput_udp,Average_delay
11,1.21686,4947.72,
Number_of_nodes,Average_throughput_udp,Average_delay
12,1.11532,5328.74,
Number_of_nodes,Average_throughput_udp,Average_delay
13,1.02958,5614.38,
Number_of_nodes,Average_throughput_udp,Average_delay
14,0.9559,6986.46,
Number_of_nodes,Average_throughput_udp,Average_delay
15,0.892202,6889.62,
Number_of_nodes,Average_throughput_udp,Average_delay
16,0.836288,7114.52,
Number_of_nodes,Average_throughput_udp,Average_delay
17,0.787115,7220.49,
Number_of_nodes,Average_throughput_udp,Average_delay
18,0.74337,8012.05,
Number_of_nodes,Average_throughput_udp,Average_delay
19,0.704264,7914.66,
Number_of_nodes,Average_throughput_udp,Average_delay
20,0.668924,8601.72,
Number_of_nodes,Average_throughput_udp,Average_delay
21,0.637074,9081.03,
Number_of_nodes,Average_throughput_udp,Average_delay
22,0.608062,9589.86,
Number_of_nodes,Average_throughput_udp,Average_delay
23,0.581651,10713.8,
Number_of_nodes,Average_throughput_udp,Average_delay
24,0.534035,4.34794e+08,
Number_of_nodes,Average_throughput_udp,Average_delay
25,0.492015,8.69577e+08,
Number_of_nodes,Average_throughput_udp,Average_delay
26,0.455087,1.30436e+09,
Number_of_nodes,Average_throughput_udp,Average_delay
27,0.421929,1.73914e+09,
Number_of_nodes,Average_throughput_udp,Average_delay
28,0.392287,2.17393e+09,
Number_of_nodes,Average_throughput_udp,Average_delay
29,0.365735,2.60871e+09,
Number_of_nodes,Average_throughput_udp,Average_delay
30,0.341695,3.04349e+09,
