Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
1,470.339,2126.13,1
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
2,0,inf,1
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
3,0.16666,2e+10,1
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
4,0.083331,3e+10,1
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
5,0.049999,4e+10,1
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
1,888.092,1126.01,2
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
2,0.9998,2367.88,2
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
3,0.499829,3762.88,2
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
4,0.333256,2145.91,2
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
5,0.249887,1935.37,2
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
1,143.966,6946.09,3
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
2,0.999023,2402.06,3
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
3,0.499769,2879.5,3
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
4,0.333057,2806.86,3
Number_of_nodes,Average_throughput_udp,Average_delay,Position_Allocator
5,0.249904,2582.62,3
