Number_of_nodes,Average_throughput_udp,Average_delay
1,1608.04,7287.61,
Number_of_nodes,Average_throughput_udp,Average_delay
6,2.34269,2991.92,
Number_of_nodes,Average_throughput_udp,Average_delay
11,1.21685,4782.37,
Number_of_nodes,Average_throughput_udp,Average_delay
16,0.836332,7248.32,
Number_of_nodes,Average_throughput_udp,Average_delay
21,0.637121,9291.46,
Number_of_nodes,Average_throughput_udp,Average_delay
1,815.603,5057.61,
Number_of_nodes,Average_throughput_udp,Average_delay
6,0.824737,2254.73,
Number_of_nodes,Average_throughput_udp,Average_delay
11,0.428396,3521.51,
Number_of_nodes,Average_throughput_udp,Average_delay
16,0.294507,4732.09,
Number_of_nodes,Average_throughput_udp,Average_delay
21,0.224362,5757.57,
Number_of_nodes,Average_throughput_udp,Average_delay
1,531.736,7757.61,
Number_of_nodes,Average_throughput_udp,Average_delay
2,4.1227,3312.38,
Number_of_nodes,Average_throughput_udp,Average_delay
3,2.06149,2336.35,
Number_of_nodes,Average_throughput_udp,Average_delay
4,1.37432,2376.47,
Number_of_nodes,Average_throughput_udp,Average_delay
5,1.03084,3261.01,
Number_of_nodes,Average_throughput_udp,Average_delay
1,146.929,6806.01,
Number_of_nodes,Average_throughput_udp,Average_delay
2,0.999541,1074.39,
Number_of_nodes,Average_throughput_udp,Average_delay
3,0.499792,2884.03,
Number_of_nodes,Average_throughput_udp,Average_delay
4,0.333257,1683.71,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.24996,1563.93,
Number_of_nodes,Average_throughput_udp,Average_delay
1,2207.92,5307.61,
Number_of_nodes,Average_throughput_udp,Average_delay
2,11.7039,2784.88,
Number_of_nodes,Average_throughput_udp,Average_delay
3,5.8558,1916.35,
Number_of_nodes,Average_throughput_udp,Average_delay
4,3.90379,2845.67,
Number_of_nodes,Average_throughput_udp,Average_delay
5,2.92809,3263.32,
