10,1472,3,5,1.33821,5410.87,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.3384,5630.41,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33829,5338.04,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33844,5426.72,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33828,5635.62,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33841,5503.41,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33819,5433.55,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33842,5382.64,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33825,5594.19,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33838,5474.4,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.3383,5478.59,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33815,5532.52,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33842,5326.18,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33841,5302.39,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33842,5331.86,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33842,5388.12,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.3385,5146.7,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33839,5280.68,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33845,4951.26,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.33802,5513.19,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,1.3383,5342,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,0,999998,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,0,999998,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,0,999998,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,0,999998,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,0,999998,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,0,999998,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,0,999998,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,0,999998,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
10,1472,3,5,0,999998,
RandomRectanglePositionAllocator,Number_of_nodes,Payload_size,DataRate_model,freq_wifi,Average_throughput,Average_delay
