Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249943,1735.13,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249915,2680.61,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249923,1653.43,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249917,3422.69,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249934,1820.73,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249914,2550.93,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249926,1738.77,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249895,2967.63,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249929,2478.7,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249915,2246.02,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249935,1817.53,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.24992,2205.81,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249931,2073.01,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249911,1766.4,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249916,2112.51,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249919,2629.92,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249905,3143.21,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.249913,2666.26,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.149915,6.66667e+09,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.149919,6.66667e+09,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.0999456,1.5e+10,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.0997212,1.5e+10,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.049999,4e+10,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0.0499318,4e+10,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0,inf,
Number_of_nodes,Average_throughput_udp,Average_delay
5,0,inf,
