Number_of_nodes,Average_throughput_udp,Average_delay
1,3723.06,3147.61,
Number_of_nodes,Average_throughput_udp,Average_delay
2,11.7091,2596.79,
Number_of_nodes,Average_throughput_udp,Average_delay
3,5.85449,3091.14,
Number_of_nodes,Average_throughput_udp,Average_delay
4,3.90354,3426.29,
